Week,Location,Daily.Rainfall.Total.mm,Mean.Temperature.C,Mean.Wind.Speed.kmh,Cases
7,Newton,0,27.1,7.157142857,0
7,Nicoll Highway,0.057142857,NA,NA,0
7,Pasir Panjang,0,27.64285714,12.75714286,0
7,Pasir Ris (Central),0.142857143,NA,NA,2
7,Pasir Ris (West),0.071428571,NA,NA,0
7,Paya Lebar,1.314285714,27.81428571,18.65714286,3
7,Pulau Ubin,0.028571429,26.61428571,12.91428571,0
8,Jurong (West),4.428571429,26.82857143,8.371428571,0
8,Jurong Island,8.314285714,27.65714286,7.657142857,0
8,Jurong Pier,10.14285714,NA,NA,0
8,Kent Ridge,3.4,NA,NA,0
8,Khatib,0.828571429,27.57142857,6.371428571,0
8,Kranji Reservoir,6.8,NA,NA,0
8,Lim Chu Kang,12.91428571,NA,NA,0
8,Lower Peirce Reservoir,0.1,NA,NA,0
8,Macritchie Reservoir,3.742857143,NA,NA,0
8,Mandai,1.142857143,NA,NA,0
8,Marina Barrage,0.228571429,27.64285714,10.01428571,0
8,Marine Parade,0.228571429,NA,NA,0
8,Newton,1.4,26.97142857,6.842857143,0
8,Nicoll Highway,1.028571429,NA,NA,0
8,Pasir Panjang,4.657142857,27.58571429,11.78571429,0
8,Pasir Ris (Central),0.085714286,NA,NA,0
8,Pasir Ris (West),1.214285714,NA,NA,0
8,Paya Lebar,0.185714286,28,17.9,0
8,Pulau Ubin,0.2,26.68571429,13.22857143,0
9,Jurong (West),4.971428571,27.14285714,7.242857143,0
9,Jurong Island,9.542857143,27.94285714,6.485714286,0
9,Jurong Pier,7.457142857,NA,NA,0
9,Kent Ridge,5.857142857,NA,NA,0
9,Khatib,19.14285714,27.61428571,5.342857143,0
9,Kranji Reservoir,15.6,NA,NA,0
9,Lim Chu Kang,12.77142857,NA,NA,0
9,Lower Peirce Reservoir,22.57142857,NA,NA,0
9,Macritchie Reservoir,18.2,NA,NA,0
9,Mandai,17.97142857,NA,NA,0
9,Marina Barrage,3.771428571,28.11666667,8.542857143,0
9,Marine Parade,3.6,NA,NA,0
9,Newton,8.8,27.31428571,6.171428571,0
9,Nicoll Highway,3.828571429,NA,NA,0
9,Pasir Panjang,6.485714286,27.84285714,10.14285714,0
9,Pasir Ris (Central),1.942857143,NA,NA,0
9,Pasir Ris (West),3.771428571,NA,NA,0
9,Paya Lebar,0.6,28.32857143,16.04285714,0
9,Pulau Ubin,0.742857143,27.28333333,13.71428571,0
10,Jurong (West),6.942857143,27.1,8.171428571,0
10,Jurong Island,7.714285714,28.11428571,6.828571429,0
10,Jurong Pier,4.6,NA,NA,0
10,Kent Ridge,1.028571429,NA,NA,0
10,Khatib,4.542857143,27.71428571,5.914285714,0
10,Kranji Reservoir,11.85714286,NA,NA,0
10,Lim Chu Kang,9.514285714,NA,NA,0
10,Lower Peirce Reservoir,1.342857143,NA,NA,0
10,Macritchie Reservoir,1.771428571,NA,NA,0
10,Mandai,3.057142857,NA,NA,0
10,Marina Barrage,2.342857143,28.04285714,9.914285714,0
10,Marine Parade,1.571428571,NA,NA,0
10,Newton,1.085714286,27.4,6.642857143,0
10,Nicoll Highway,2.257142857,NA,NA,0
10,Pasir Panjang,4.942857143,27.97142857,12.02857143,0
10,Pasir Ris (Central),2.971428571,NA,NA,0
10,Pasir Ris (West),3.857142857,NA,NA,0
10,Paya Lebar,2,28.22857143,16.92857143,0
10,Pulau Ubin,4.885714286,27.01428571,13.01428571,0
11,Jurong (West),4.428571429,27.71428571,6.957142857,0
11,Jurong Island,2.085714286,28.47142857,7.157142857,0
11,Jurong Pier,3.371428571,NA,NA,0
11,Kent Ridge,2.314285714,NA,NA,0
11,Khatib,0,28.6,6.185714286,0
11,Kranji Reservoir,0.628571429,NA,NA,0
11,Lim Chu Kang,2.714285714,NA,NA,0
11,Lower Peirce Reservoir,1.8,NA,NA,0
11,Macritchie Reservoir,4.428571429,NA,NA,0
11,Mandai,0.028571429,NA,NA,0
11,Marina Barrage,2.085714286,28.76666667,8.542857143,0
11,Marine Parade,0.314285714,NA,NA,0
11,Newton,1.285714286,27.94285714,6.642857143,0
11,Nicoll Highway,1.485714286,NA,NA,0
11,Pasir Panjang,3.114285714,28.5,10.01428571,0
11,Pasir Ris (Central),0.028571429,NA,NA,0
11,Pasir Ris (West),0,NA,NA,0
11,Paya Lebar,0.242857143,28.98571429,16.38571429,1
11,Pulau Ubin,0,27.81428571,13.64285714,0
12,Jurong (West),5.657142857,27.67142857,7.342857143,0
12,Jurong Island,1.2,28.67142857,7.342857143,0
12,Jurong Pier,8.885714286,NA,NA,0
12,Kent Ridge,14.45714286,NA,NA,0
12,Khatib,0.342857143,28.54285714,5.814285714,0
12,Kranji Reservoir,1.171428571,NA,NA,0
12,Lim Chu Kang,6.771428571,NA,NA,0
12,Lower Peirce Reservoir,1.914285714,NA,NA,0
12,Macritchie Reservoir,4,NA,NA,0
12,Mandai,1.542857143,NA,NA,0
12,Marina Barrage,4.457142857,28.61428571,8.342857143,0
12,Marine Parade,5.114285714,NA,NA,2
12,Newton,8.228571429,27.81428571,6.371428571,0
12,Nicoll Highway,1.857142857,NA,NA,0
12,Pasir Panjang,7.6,28.38571429,10.47142857,0
12,Pasir Ris (Central),0.514285714,NA,NA,0
12,Pasir Ris (West),0.314285714,NA,NA,0
12,Paya Lebar,0.142857143,28.84285714,12.1,0
12,Pulau Ubin,0.914285714,27.38571429,12.9,0
13,Jurong (West),14.11428571,26.41428571,6.914285714,1
13,Jurong Island,9.571428571,27.67142857,6.328571429,0
13,Jurong Pier,20.85714286,NA,NA,0
13,Kent Ridge,15.45714286,NA,NA,0
13,Khatib,7.114285714,26.8,4.214285714,0
13,Kranji Reservoir,13.91428571,NA,NA,0
13,Lim Chu Kang,10.25714286,NA,NA,0
13,Lower Peirce Reservoir,8.033333333,NA,NA,0
13,Macritchie Reservoir,5.228571429,NA,NA,0
13,Mandai,8.114285714,NA,NA,0
13,Marina Barrage,4.766666667,27.325,7.066666667,0
13,Marine Parade,2.428571429,NA,NA,0
13,Newton,2.685714286,26.87142857,5.028571429,0
13,Nicoll Highway,5.885714286,NA,NA,0
13,Pasir Panjang,13.08571429,27.31428571,10.17142857,0
13,Pasir Ris (Central),2.4,NA,NA,0
13,Pasir Ris (West),4.857142857,NA,NA,0
13,Paya Lebar,7.957142857,27.47142857,9.1,0
13,Pulau Ubin,5.2,26.25714286,13.12857143,0
14,Jurong (West),23.2,27.58333333,7.1,1
14,Jurong Island,0.971428571,28.68571429,8.185714286,0
14,Jurong Pier,13.45714286,NA,NA,0
14,Kent Ridge,4.714285714,NA,NA,0
14,Khatib,3,28.46666667,5.657142857,0
14,Kranji Reservoir,2.771428571,NA,NA,0
14,Lim Chu Kang,7.633333333,NA,NA,0
14,Lower Peirce Reservoir,14.14285714,NA,NA,0
14,Macritchie Reservoir,20.68571429,NA,NA,0
14,Mandai,0.971428571,NA,NA,0
14,Marina Barrage,1.933333333,28.74,7.366666667,0
14,Marine Parade,4.057142857,NA,NA,0
14,Newton,5,27.97142857,6.628571429,0
14,Nicoll Highway,2.685714286,NA,NA,0
14,Pasir Panjang,3.285714286,28.6,9.928571429,0
14,Pasir Ris (Central),1.8,NA,NA,0
14,Pasir Ris (West),1.428571429,NA,NA,0
14,Paya Lebar,3.057142857,29.01428571,12.7,0
14,Pulau Ubin,0.028571429,27.77142857,14.41428571,0
15,Jurong (West),5.342857143,27.94285714,6.642857143,4
15,Jurong Island,4.685714286,28.8,8.085714286,0
15,Jurong Pier,7.171428571,NA,NA,0
15,Kent Ridge,2.828571429,NA,NA,0
15,Khatib,4.657142857,28.58,5.6,0
15,Kranji Reservoir,8.628571429,NA,NA,0
15,Lim Chu Kang,6.457142857,NA,NA,0
15,Lower Peirce Reservoir,7.114285714,NA,NA,0
15,Macritchie Reservoir,6.357142857,NA,NA,0
15,Mandai,8.028571429,NA,NA,0
15,Marina Barrage,5.457142857,29,7.357142857,0
15,Marine Parade,5.142857143,NA,NA,2
15,Newton,7.857142857,28.21428571,6.485714286,0
15,Nicoll Highway,6.628571429,NA,NA,0
15,Pasir Panjang,1.971428571,28.88571429,9.514285714,0
15,Pasir Ris (Central),3.285714286,NA,NA,0
15,Pasir Ris (West),2.571428571,NA,NA,0
15,Paya Lebar,4.414285714,29.35714286,11.88571429,0
15,Pulau Ubin,3,28.05714286,14.45714286,0
16,Jurong (West),15.88571429,26.8,5.8,4
16,Jurong Island,11.74285714,27.58571429,4.957142857,0
16,Jurong Pier,15.77142857,NA,NA,0
16,Kent Ridge,21.71428571,NA,NA,0
16,Khatib,2.4,27.75,4.325,0
16,Kranji Reservoir,13.51428571,NA,NA,0
16,Lim Chu Kang,24.56,NA,NA,0
16,Lower Peirce Reservoir,18.37142857,NA,NA,0
16,Macritchie Reservoir,12.67142857,NA,NA,0
16,Mandai,8.685714286,NA,NA,0
16,Marina Barrage,18.36666667,28.55,6.216666667,0
16,Marine Parade,2.285714286,NA,NA,1
16,Newton,2.485714286,27.42857143,4.685714286,0
16,Nicoll Highway,10.82857143,NA,NA,0
16,Pasir Panjang,14.57142857,27.87142857,7.571428571,0
16,Pasir Ris (Central),0.4,NA,NA,0
16,Pasir Ris (West),2.657142857,NA,NA,0
16,Paya Lebar,1.385714286,28.6,9.914285714,0
16,Pulau Ubin,2.628571429,27.2,16.04285714,0
17,Jurong (West),2.428571429,27.81428571,6.7,10
17,Jurong Island,2.457142857,28.95714286,7.2,0
17,Jurong Pier,6.571428571,NA,NA,0
17,Kent Ridge,8.142857143,NA,NA,0
17,Khatib,8.066666667,27.8,3.583333333,0
17,Kranji Reservoir,15.77142857,NA,NA,0
17,Lim Chu Kang,16.43333333,NA,NA,0
17,Lower Peirce Reservoir,8.085714286,NA,NA,0
17,Macritchie Reservoir,8.685714286,NA,NA,0
17,Mandai,13.05714286,NA,NA,0
17,Marina Barrage,7.633333333,28.86,5.3,0
17,Marine Parade,0.885714286,NA,NA,2
17,Newton,13,28.12857143,6.014285714,0
17,Nicoll Highway,6.628571429,NA,NA,0
17,Pasir Panjang,1.857142857,28.85714286,9.042857143,0
17,Pasir Ris (Central),7.114285714,NA,NA,0
17,Pasir Ris (West),4.371428571,NA,NA,0
17,Paya Lebar,7.857142857,28.88571429,8.385714286,0
17,Pulau Ubin,10.25714286,27.61428571,16.1,0
18,Jurong (West),15.11428571,27.64285714,5.914285714,17
18,Jurong Island,3.085714286,28.8,8.228571429,0
18,Jurong Pier,13,NA,NA,0
18,Kent Ridge,10.85714286,NA,NA,0
18,Khatib,6.542857143,27.65714286,3.628571429,0
18,Kranji Reservoir,10.36666667,NA,NA,0
18,Lim Chu Kang,6.666666667,NA,NA,0
18,Lower Peirce Reservoir,7.028571429,NA,NA,0
18,Macritchie Reservoir,10.45714286,NA,NA,0
18,Mandai,15.48571429,NA,NA,0
18,Marina Barrage,1.571428571,29.3,4.385714286,0
18,Marine Parade,9.314285714,NA,NA,2
18,Newton,3.514285714,28.37142857,6.128571429,0
18,Nicoll Highway,2.371428571,NA,NA,0
18,Pasir Panjang,6.8,28.98571429,7.771428571,0
18,Pasir Ris (Central),2.8,NA,NA,0
18,Pasir Ris (West),5.571428571,NA,NA,0
18,Paya Lebar,9.3,29.08571429,8.014285714,0
18,Pulau Ubin,4.114285714,27.74285714,16.45714286,0
19,Jurong (West),11.28571429,28.81428571,7.457142857,27
19,Jurong Island,0.485714286,29.58571429,11.85714286,0
19,Jurong Pier,2.857142857,NA,NA,0
19,Kent Ridge,0.314285714,NA,NA,0
19,Khatib,0,29.6,5.48,0
19,Kranji Reservoir,3.771428571,NA,NA,0
19,Lim Chu Kang,4.514285714,NA,NA,0
19,Lower Peirce Reservoir,3.428571429,NA,NA,0
