,population
14/11/1954,1305720
21/11/1954,1306836
28/11/1954,1307953
5/12/1954,1309070
12/12/1954,1310186
19/12/1954,1311303
26/12/1954,1312419
2/1/1955,1313536
9/1/1955,1314653
16/1/1955,1315769
23/1/1955,1316886
30/1/1955,1318003
6/2/1955,1319119
13/2/1955,1320236
20/2/1955,1321352
27/2/1955,1322469
6/3/1955,1323586
13/3/1955,1324702
20/3/1955,1325819
27/3/1955,1326935
3/4/1955,1328052
10/4/1955,1329169
17/4/1955,1330285
24/4/1955,1331402
1/5/1955,1332519
8/5/1955,1333635
15/5/1955,1334752
22/5/1955,1335868
29/5/1955,1336985
5/6/1955,1338102
12/6/1955,1339218
19/6/1955,1340335
26/6/1955,1341451
3/7/1955,1342568
10/7/1955,1343685
17/7/1955,1344801
24/7/1955,1345918
31/7/1955,1347035
7/8/1955,1348151
14/8/1955,1349268
21/8/1955,1350384
28/8/1955,1351501
4/9/1955,1352618
11/9/1955,1353734
18/9/1955,1354851
25/9/1955,1355967
2/10/1955,1357084
9/10/1955,1358201
16/10/1955,1359317
23/10/1955,1360434
30/10/1955,1361550
6/11/1955,1362667
13/11/1955,1363784
20/11/1955,1364900
27/11/1955,1366017
4/12/1955,1367134
11/12/1955,1368250
18/12/1955,1369367
25/12/1955,1370483
1/1/1956,1371600
8/1/1956,1372867
15/1/1956,1374135
22/1/1956,1375402
29/1/1956,1376670
5/2/1956,1377937
12/2/1956,1379205
19/2/1956,1380472
26/2/1956,1381739
4/3/1956,1383007
11/3/1956,1384274
18/3/1956,1385542
25/3/1956,1386809
1/4/1956,1388077
8/4/1956,1389344
15/4/1956,1390611
22/4/1956,1391879
29/4/1956,1393146
6/5/1956,1394414
13/5/1956,1395681
20/5/1956,1396949
27/5/1956,1398216
3/6/1956,1399484
10/6/1956,1400751
17/6/1956,1402018
24/6/1956,1403286
1/7/1956,1404553
8/7/1956,1405821
15/7/1956,1407088
22/7/1956,1408356
29/7/1956,1409623
5/8/1956,1410890
12/8/1956,1412158
19/8/1956,1413425
26/8/1956,1414693
2/9/1956,1415960
9/9/1956,1417228
16/9/1956,1418495
23/9/1956,1419762
30/9/1956,1421030
7/10/1956,1422297
14/10/1956,1423565
21/10/1956,1424832
28/10/1956,1426100
4/11/1956,1427367
11/11/1956,1428634
18/11/1956,1429902
25/11/1956,1431169
2/12/1956,1432437
9/12/1956,1433704
16/12/1956,1434972
23/12/1956,1436239
30/12/1956,1437507
6/1/1957,1438774
13/1/1957,1440041
20/1/1957,1441309
27/1/1957,1442576
3/2/1957,1443844
10/2/1957,1445111
17/2/1957,1446379
24/2/1957,1447646
3/3/1957,1448913
10/3/1957,1450181
17/3/1957,1451448
24/3/1957,1452716
31/3/1957,1453983
7/4/1957,1455251
14/4/1957,1456518
21/4/1957,1457785
28/4/1957,1459053
5/5/1957,1460320
12/5/1957,1461588
19/5/1957,1462855
26/5/1957,1464123
2/6/1957,1465390
9/6/1957,1466657
16/6/1957,1467925
23/6/1957,1469192
30/6/1957,1470460
7/7/1957,1471727
14/7/1957,1472995
21/7/1957,1474262
28/7/1957,1475530
4/8/1957,1476797
11/8/1957,1478064
18/8/1957,1479332
25/8/1957,1480599
1/9/1957,1481867
8/9/1957,1483134
15/9/1957,1484402
22/9/1957,1485669
29/9/1957,1486936
6/10/1957,1488204
13/10/1957,1489471
20/10/1957,1490739
27/10/1957,1492006
3/11/1957,1493274
10/11/1957,1494541
17/11/1957,1495808
24/11/1957,1497076
1/12/1957,1498343
8/12/1957,1499611
15/12/1957,1500878
22/12/1957,1502146
29/12/1957,1503413
5/1/1958,1504680
12/1/1958,1505948
19/1/1958,1507215
26/1/1958,1508483
2/2/1958,1509750
9/2/1958,1511018
16/2/1958,1512285
23/2/1958,1513552
2/3/1958,1514820
9/3/1958,1516087
16/3/1958,1517355
23/3/1958,1518622
30/3/1958,1519890
6/4/1958,1521157
13/4/1958,1522425
20/4/1958,1523692
27/4/1958,1524959
4/5/1958,1526227
11/5/1958,1527494
18/5/1958,1528762
25/5/1958,1530029
1/6/1958,1531297
8/6/1958,1532564
15/6/1958,1533831
22/6/1958,1535099
29/6/1958,1536366
6/7/1958,1537634
13/7/1958,1538901
20/7/1958,1540169
27/7/1958,1541436
3/8/1958,1542703
10/8/1958,1543971
17/8/1958,1545238
24/8/1958,1546506
31/8/1958,1547773
7/9/1958,1549041
14/9/1958,1550308
21/9/1958,1551575
28/9/1958,1552843
5/10/1958,1554110
12/10/1958,1555378
19/10/1958,1556645
26/10/1958,1557913
2/11/1958,1559180
9/11/1958,1560448
16/11/1958,1561715
23/11/1958,1562982
30/11/1958,1564250
7/12/1958,1565517
14/12/1958,1566785
21/12/1958,1568052
28/12/1958,1569320
4/1/1959,1570587
11/1/1959,1571854
18/1/1959,1573122
25/1/1959,1574389
1/2/1959,1575657
8/2/1959,1576924
15/2/1959,1578192
22/2/1959,1579459
1/3/1959,1580726
8/3/1959,1581994
15/3/1959,1583261
22/3/1959,1584529
29/3/1959,1585796
5/4/1959,1587064
12/4/1959,1588331
19/4/1959,1589598
26/4/1959,1590866
3/5/1959,1592133
10/5/1959,1593401
17/5/1959,1594668
24/5/1959,1595936
31/5/1959,1597203
7/6/1959,1598470
14/6/1959,1599738
21/6/1959,1601005
28/6/1959,1602273
5/7/1959,1603540
12/7/1959,1604808
19/7/1959,1606075
26/7/1959,1607343
2/8/1959,1608610
9/8/1959,1609877
16/8/1959,1611145
23/8/1959,1612412
30/8/1959,1613680
6/9/1959,1614947
13/9/1959,1616215
20/9/1959,1617482
27/9/1959,1618749
4/10/1959,1620017
11/10/1959,1621284
18/10/1959,1622552
25/10/1959,1623819
1/11/1959,1625087
8/11/1959,1626354
15/11/1959,1627621
22/11/1959,1628889
29/11/1959,1630156
6/12/1959,1631424
13/12/1959,1632691
20/12/1959,1633959
27/12/1959,1635226
3/1/1960,1636493
10/1/1960,1637761
17/1/1960,1639028
24/1/1960,1640296
31/1/1960,1641563
7/2/1960,1642831
14/2/1960,1644098
21/2/1960,1645366
28/2/1960,1646633
6/3/1960,1647900
13/3/1960,1649168
20/3/1960,1650435
27/3/1960,1651703
3/4/1960,1652970
10/4/1960,1654238
17/4/1960,1655505
24/4/1960,1656772
1/5/1960,1658040
8/5/1960,1659307
15/5/1960,1660575
22/5/1960,1661842
29/5/1960,1663110
5/6/1960,1664377
12/6/1960,1665644
19/6/1960,1666912
26/6/1960,1668179
3/7/1960,1669447
10/7/1960,1670714
17/7/1960,1671982
24/7/1960,1673249
31/7/1960,1674516
7/8/1960,1675784
14/8/1960,1677051
21/8/1960,1678319
28/8/1960,1679586
4/9/1960,1680854
11/9/1960,1682121
18/9/1960,1683389
25/9/1960,1684656
2/10/1960,1685923
9/10/1960,1687191
16/10/1960,1688458
23/10/1960,1689726
30/10/1960,1690993
6/11/1960,1692261
13/11/1960,1693528
20/11/1960,1694795
27/11/1960,1696063
4/12/1960,1697330
11/12/1960,1698598
18/12/1960,1699865
25/12/1960,1701133
1/1/1961,1702400
8/1/1961,1703279
15/1/1961,1704158
22/1/1961,1705038
29/1/1961,1705917
5/2/1961,1706796
12/2/1961,1707675
19/2/1961,1708555
26/2/1961,1709434
5/3/1961,1710313
12/3/1961,1711192
19/3/1961,1712072
26/3/1961,1712951
2/4/1961,1713830
9/4/1961,1714709
16/4/1961,1715588
23/4/1961,1716468
30/4/1961,1717347
7/5/1961,1718226
14/5/1961,1719105
21/5/1961,1719985
28/5/1961,1720864
4/6/1961,1721743
11/6/1961,1722622
18/6/1961,1723502
25/6/1961,1724381
2/7/1961,1725260
9/7/1961,1726139
16/7/1961,1727019
23/7/1961,1727898
30/7/1961,1728777
6/8/1961,1729656
13/8/1961,1730535
20/8/1961,1731415
27/8/1961,1732294
3/9/1961,1733173
10/9/1961,1734052
17/9/1961,1734932
24/9/1961,1735811
1/10/1961,1736690
8/10/1961,1737569
15/10/1961,1738449
22/10/1961,1739328
29/10/1961,1740207
5/11/1961,1741086
12/11/1961,1741965
19/11/1961,1742845
26/11/1961,1743724
3/12/1961,1744603
10/12/1961,1745482
17/12/1961,1746362
24/12/1961,1747241
31/12/1961,1748120
7/1/1962,1748999
14/1/1962,1749879
21/1/1962,1750758
28/1/1962,1751637
4/2/1962,1752516
11/2/1962,1753396
18/2/1962,1754275
25/2/1962,1755154
4/3/1962,1756033
11/3/1962,1756912
18/3/1962,1757792
25/3/1962,1758671
1/4/1962,1759550
8/4/1962,1760429
15/4/1962,1761309
22/4/1962,1762188
29/4/1962,1763067
6/5/1962,1763946
13/5/1962,1764826
20/5/1962,1765705
27/5/1962,1766584
3/6/1962,1767463
10/6/1962,1768342
17/6/1962,1769222
24/6/1962,1770101
1/7/1962,1770980
8/7/1962,1771859
15/7/1962,1772739
22/7/1962,1773618
29/7/1962,1774497
5/8/1962,1775376
12/8/1962,1776256
19/8/1962,1777135
26/8/1962,1778014
2/9/1962,1778893
9/9/1962,1779773
16/9/1962,1780652
23/9/1962,1781531
30/9/1962,1782410
7/10/1962,1783289
14/10/1962,1784169
21/10/1962,1785048
28/10/1962,1785927
4/11/1962,1786806
11/11/1962,1787686
18/11/1962,1788565
25/11/1962,1789444
2/12/1962,1790323
9/12/1962,1791203
16/12/1962,1792082
23/12/1962,1792961
30/12/1962,1793840
6/1/1963,1794719
13/1/1963,1795599
20/1/1963,1796478
27/1/1963,1797357
3/2/1963,1798236
10/2/1963,1799116
17/2/1963,1799995
24/2/1963,1800874
3/3/1963,1801753
10/3/1963,1802633
17/3/1963,1803512
24/3/1963,1804391
31/3/1963,1805270
7/4/1963,1806150
14/4/1963,1807029
21/4/1963,1807908
28/4/1963,1808787
5/5/1963,1809666
12/5/1963,1810546
19/5/1963,1811425
26/5/1963,1812304
2/6/1963,1813183
9/6/1963,1814063
16/6/1963,1814942
23/6/1963,1815821
30/6/1963,1816700
7/7/1963,1817580
14/7/1963,1818459
21/7/1963,1819338
28/7/1963,1820217
4/8/1963,1821096
11/8/1963,1821976
18/8/1963,1822855
25/8/1963,1823734
1/9/1963,1824613
8/9/1963,1825493
15/9/1963,1826372
22/9/1963,1827251
29/9/1963,1828130
6/10/1963,1829010
13/10/1963,1829889
20/10/1963,1830768
27/10/1963,1831647
3/11/1963,1832527
10/11/1963,1833406
17/11/1963,1834285
24/11/1963,1835164
1/12/1963,1836043
8/12/1963,1836923
15/12/1963,1837802
22/12/1963,1838681
29/12/1963,1839560
5/1/1964,1840440
12/1/1964,1841319
19/1/1964,1842198
