"Week","Location","Daily.Rainfall.Total.mm","Mean.Temperature.C","Mean.Wind.Speed.kmh","Cases"
1,"Admiralty",10.9,26.65,8.1,0
1,"Admiralty West",22.2,NA,NA,0
1,"Ang Mo Kio",12.65,26.05,4.8625,0
1,"Boon Lay (West)",NA,NA,NA,0
1,"Botanic Garden",22.2,NA,NA,0
1,"Buangkok",17.275,NA,NA,1
1,"Bukit Panjang",17.775,NA,NA,0
1,"Bukit Timah",22.55,NA,NA,0
1,"Buona Vista",18,NA,NA,0
1,"Chai Chee",7.4,NA,NA,0
1,"Changi",9.425,26.2125,6.9625,0
1,"Choa Chu Kang (Central)",14.8,NA,NA,1
1,"Choa Chu Kang (South)",16.6857142857143,26.3,4.21428571428571,0
1,"Choa Chu Kang (West)",17.025,NA,NA,0
1,"Clementi",17.88,26.3666666666667,4.24,0
1,"Dhoby Ghaut",23.2571428571429,NA,NA,0
1,"East Coast Parkway",7.7,26.7625,10.3,0
1,"Jurong (North)",NA,NA,NA,0
2,"Admiralty",17.4,24.1857142857143,9.6,0
2,"Ang Mo Kio",21.2571428571429,24.1571428571429,5.81428571428571,0
2,"Boon Lay (West)",NA,NA,NA,0
2,"Botanic Garden",21.4571428571429,NA,NA,0
2,"Buangkok",22.2857142857143,NA,NA,0
2,"Bukit Panjang",20.7714285714286,NA,NA,0
2,"Bukit Timah",46.8,NA,NA,0
2,"Buona Vista",24.7,NA,NA,0
2,"Chai Chee",24.1,NA,NA,0
2,"Changi",20.9428571428571,24.5,7.98571428571429,0
2,"Choa Chu Kang (Central)",17.2,NA,NA,1
2,"Choa Chu Kang (South)",14.4333333333333,NA,5.11666666666667,0
2,"Choa Chu Kang (West)",14.0857142857143,NA,NA,0
2,"Clementi",33.6666666666667,25.4,6.13333333333333,0
2,"Dhoby Ghaut",26.44,NA,NA,0
2,"East Coast Parkway",15.8857142857143,25.0571428571429,11.9857142857143,0
2,"Jurong (North)",NA,NA,NA,1
3,"Admiralty",2.08571428571429,26.4285714285714,10.6428571428571,0
3,"Ang Mo Kio",1.65714285714286,26.4285714285714,5.97142857142857,0
3,"Boon Lay (West)",NA,NA,NA,0
3,"Botanic Garden",3.65714285714286,NA,NA,0
3,"Buangkok",3.25714285714286,NA,NA,0
3,"Bukit Panjang",8.88571428571429,NA,NA,2
3,"Bukit Timah",14.1333333333333,NA,NA,0
3,"Buona Vista",5.66666666666667,NA,NA,0
3,"Chai Chee",6.65714285714286,NA,NA,0
3,"Changi",3.91428571428571,26.6,8.12857142857143,0
3,"Choa Chu Kang (Central)",4.26666666666667,NA,NA,0
3,"Choa Chu Kang (South)",2.28571428571429,27.22,5.62857142857143,0
3,"Choa Chu Kang (West)",1.77142857142857,NA,NA,0
3,"Clementi",5.74285714285714,26.5142857142857,5.97142857142857,0
